id_str,created_at,text,user.screen_name,user.lang,coordinates.coordinates
"1007777892644851712","Sat Jun 16 00:12:27 +0000 2018","All the progress I feel like I make , always is accompanied in the near future by several steps back .","BrandonKronz","en",
"1007777892699213824","Sat Jun 16 00:12:27 +0000 2018","RT @parkxyoonnie: Yoonmin AU where jimin makes a video every few years dedicated to his future spouse, and finally on his wedding day, he p…","armlink4ever","en",
"1007777893051719681","Sat Jun 16 00:12:27 +0000 2018","RT @xalexiskylex: A hard pill to swallow:\nPeople are allowed to move on after a long term relationship. They’re allowed to be happy with so…","alisson_rashell","en",
"1007777894066778112","Sat Jun 16 00:12:28 +0000 2018","RT @BallState: As we celebrate our Proud Past and Bright Future we will honor the accomplishments of our faculty, staff, students, and alum…","dbehrens94","en",
"1007777894486237184","Sat Jun 16 00:12:28 +0000 2018","RT @CheriJacobus: Any Senator - esp retiring GOP Senators - who cannot use their time in the Senate RIGHT NOW to save us from Trump has no…","AnthonyFFabrizi","en",
"1007777897095073792","Sat Jun 16 00:12:28 +0000 2018","RT @ValaAfshar: Stages of the reader:\n\n1 discovering books\n2 falling in love\n3 book as identity\n4 books as friends\n5 books as unbreakable f…","rafavidalperez","es",
"1007777898231627777","Sat Jun 16 00:12:29 +0000 2018","2018 Mill Creek girls youth camp was a huge success! What a great group of future hawks! So proud of everyone for c… https://t.co/5PoIqo9CcS","MillCreekGBB","en",
"1007777901880725504","Sat Jun 16 00:12:30 +0000 2018","@BuckinghamLilia For the ones in the back, STOP HATING AND PUSHING AROUND YOUNG GIRLS.The girl Lilia is talking abo… https://t.co/AAdbHYgK7B","ziegorlandblanc","en",
"1007777908117520384","Sat Jun 16 00:12:31 +0000 2018","RT @ilsansqueen: The boys arent resting. They have lots of projects in the future. Since we're on content-rest i really encourage you guys…","rhianna_thrupp","en",
"1007777908838969344","Sat Jun 16 00:12:31 +0000 2018","RT @7im: we've got a kafkaesque nightmare in the making. Parents held by DHS; kids sent by HHS into foster homes in the interior. No system…","GiraffeJournal","en",
"1007777909505916928","Sat Jun 16 00:12:31 +0000 2018","i hope my future husband dont make all my fears come true... i wanna stay as a family and not be a stepmommy or none of that BS.","tydollface","en",
"1007777911733194753","Sat Jun 16 00:12:32 +0000 2018","RT @BestProAdvice: No matter how dirty your past is, your future is still spotless","KatieJayne1902","en",
"1007777912441929734","Sat Jun 16 00:12:32 +0000 2018","Every morning we got a chance to be different, A chance to change, A chance to be better, Your past is your past le… https://t.co/qPA6QsvOyn","Winexj","ar",
"1007777912945246208","Sat Jun 16 00:12:32 +0000 2018","RT @ilsansqueen: The boys arent resting. They have lots of projects in the future. Since we're on content-rest i really encourage you guys…","7BangtanOutsold","es",
"1007777912685129728","Sat Jun 16 00:12:32 +0000 2018","RT @gurikonoomake1: #Heroes&amp;Future\n長野駅から乗ったタクシー運転手さん。羽生選手ファン遠くまで観に来るよねと言うので身構えると、「でもねあんな素晴らしい人間を観られる時代に生まれたあんた方は幸せだよ。自分は膝を骨折した経験があるけど次の一発で又…","Hinako_mura_","ja",
"1007777913138302977","Sat Jun 16 00:12:32 +0000 2018","RT @daniecal: Media: All👏 These 👏 Women👏 Are👏 Running 👏 For Office👏\n\nMe: Cool what are their platforms and political backgrounds\n\nMedia : T…","DaintyDijah_","en",
"1007777915482730496","Sat Jun 16 00:12:33 +0000 2018","RT @Cherodinger: จากการประมาณการ ประมาณการตามสมการการถดถอยเชิงเส้น... #CherprangBNK48  มีโอกาสปีนี้ลุ้น Future girl ""แต่"" ทุกอย่างเป็นเพียง…","ztamnaja","en",
"1007777916845985794","Sat Jun 16 00:12:33 +0000 2018","RT @chrislhayes: This is *exactly* my fear. It is genuinely an open question whether the relevant agencies have the processes in place to t…","MarkDau34132405","en",
"1007777920889151488","Sat Jun 16 00:12:34 +0000 2018","RT @BMWUSA: With the All-New BMW #i3s, you don’t have to wait to drive the future. https://t.co/tt5CpYQP3s","jalosgood11","en",
"1007777921124196354","Sat Jun 16 00:12:34 +0000 2018","RT @BillSimmons: New BS Report: @KyrieIrving on leaving LeBron, Kawhi rumors, summer moves, The Empowered Player Generation, Boston’s Futur…","quentonalbertie","en",
"1007777921287708672","Sat Jun 16 00:12:34 +0000 2018","Islamic State of Lakemba. @TurnbullMalcolm you have blood on your hands (future Tense) https://t.co/Pb2VttvVJl","oneforYah","en",
"1007777921954729986","Sat Jun 16 00:12:34 +0000 2018","RT @chrislhayes: This is *exactly* my fear. It is genuinely an open question whether the relevant agencies have the processes in place to t…","crueladevila5","en",
"1007777926572625926","Sat Jun 16 00:12:35 +0000 2018","RT @cumberledge_dan: 6 years ago, #DACA was created, benefitting our communities and thousands of young Dreamers in Ohio. \n\nBut now #Dreame…","cumberledge_dan","en",
"1007777928078417921","Sat Jun 16 00:12:36 +0000 2018","RT @realTylerZed: A huge thanks to everyone for supporting us! If you like @Education4Libs &amp; I here on Twitter, please support our podcast…","logankworkman21","en",
"1007777928736886785","Sat Jun 16 00:12:36 +0000 2018","The stock market version of SKYNET? https://t.co/Lsk7zoRVco","cloneposter","en",
"1007777930683011072","Sat Jun 16 00:12:36 +0000 2018","RT @kassiemia: Me @ my Future boo https://t.co/DnkuHh3ClJ","TheXXXGarage","en",
"1007777930150273024","Sat Jun 16 00:12:36 +0000 2018","Sharing the joys of @dirtvision and the @WorldofOutlaws with family tonight. Future addicted fans added to my tribe… https://t.co/cDdg5DTULD","kngsprincess","en",
"1007777932725702656","Sat Jun 16 00:12:37 +0000 2018","RT @7im: we've got a kafkaesque nightmare in the making. Parents held by DHS; kids sent by HHS into foster homes in the interior. No system…","NDudley1","en",
"1007777936626278400","Sat Jun 16 00:12:38 +0000 2018","RT @Painted_FIowers: Support Painted Flowers on Patreon! Anyone who pledges $5 or more will receive shout-outs in all future episodes. Thos…","KaizerZer0","en",
"1007777937045803008","Sat Jun 16 00:12:38 +0000 2018","RT @theanimecw: I have finally made my announcement about Anime Championship Wrestling and its future. Check it out. #anime\n\nHERE: https://…","vwunited","en",
"1007777937205030912","Sat Jun 16 00:12:38 +0000 2018","@nick_bunker @equitablegrowth @HBoushey Great job and I look forward to your future work.","neoliberalshil1","en",
"1007777939054845952","Sat Jun 16 00:12:38 +0000 2018","RT @Tweets2Motivate: Do not cry for the past is gone, do not stress about the future has not arrived, live in the present and make it aweso…","shivang598","en",
"1007777939612753926","Sat Jun 16 00:12:39 +0000 2018","@ScarMestevez @LaurenGerman Congratulations Scarlett A.K.A Trixie , I see more chocolate cake in your future 🥮","buffalonyman1","en",
"1007777939998552066","Sat Jun 16 00:12:39 +0000 2018","RT @_chris_leon: If I was a DJ, I’d play this track by Fresh Water @SoFreshWater in all my sets. When I first heard this track, I just coul…","cbm1f","pt",
"1007777941726605315","Sat Jun 16 00:12:39 +0000 2018","RT @TimDownie1: Here’s to creating a future of unity, diversity and love 💚 #GreenForGrenfell #GreenForGrenfellDay https://t.co/QFriQOf0ok","ttalves97","en",
"1007777943664259072","Sat Jun 16 00:12:40 +0000 2018","RT @BillSimmons: New BS Report: @KyrieIrving on leaving LeBron, Kawhi rumors, summer moves, The Empowered Player Generation, Boston’s Futur…","AllOn_Tay","en",
